,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,Year
341,March,03/26/2020,21:29:00,03/26/2020,21:47:00,Ohio:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,19,11964,2020
342,March,03/27/2020,13:06:00,03/27/2020,13:58:00,"Delaware: Kent County, New Castle County, Sussex County; Maryland: Cecil County, Harford County, Talbot County, Kent County, Queen Anne&#39;s County, Dorchester County, Wicomico County, Worcester County, Somerset County;",RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
343,March,03/27/2020,13:06:00,03/27/2020,13:58:00,"New Jersey: Atlantic County, Cape May County, Cumberland County, Gloucester County, Salem County;",RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
344,March,03/29/2020,20:27:00,03/29/2020,23:04:00,Mississippi: Panola County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,4,1558,2020
345,March,03/31/2020,11:45:00,03/31/2020,20:00:00,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,412,57744,2020
346,April,04/01/2020,21:43:00,04/01/2020,22:18:00,Illinois: Williamson County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
347,April,04/02/2020,18:41:00,04/02/2020,19:23:00,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
348,April,04/02/2020,13:37:00,04/02/2020,14:43:00,Nebraska: York County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,5,Unknown,2020
349,April,04/02/2020,20:45:00,Unknown,Unknown,Washington: Wallula,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,Unknown,Unknown,2020
350,April,04/03/2020,09:13:00,Unknown,Unknown,Nevada: Clark County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
351,April,04/05/2020,02:30:00,04/05/2020,03:01:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
352,April,04/05/2020,15:46:00,04/05/2020,17:35:00,California: Stanislaus County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,7,6814,2020
353,April,04/07/2020,23:39:00,04/07/2020,23:46:00,Washington:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
354,April,04/08/2020,21:57:00,04/09/2020,08:59:00,Ohio: Kentucky:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,78314,2020
355,April,04/08/2020,22:03:00,04/09/2020,07:36:00,Indiana:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,93000,2020
356,April,04/08/2020,01:21:00,04/08/2020,03:56:00,Ohio:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,82509,2020
357,April,04/09/2020,19:25:00,04/10/2020,03:30:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,95000,2020
358,April,04/09/2020,19:40:00,04/11/2020,22:00:00,Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,340000,2020
359,April,04/09/2020,07:34:00,04/09/2020,17:40:00,Wisconsin: Dane County;,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2020
360,April,04/10/2020,10:00:00,04/10/2020,16:19:00,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
361,April,04/10/2020,16:00:00,Unknown,Unknown,Nevada: White Pine County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
362,April,04/11/2020,11:24:00,04/11/2020,11:42:00,Wyoming:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
363,April,04/11/2020,17:40:00,04/11/2020,17:51:00,Utah: Salt Lake City,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Suspicious Activity,Unknown,Unknown,2020
364,April,04/12/2020,20:45:00,Unknown,Unknown,Arkansas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,95318,2020
365,April,04/12/2020,13:00:00,04/12/2020,19:27:00,"Louisiana: Acadia Parish, Iberville Parish, Jefferson Davis Parish, Concordia Parish, Winn Parish, Catahoula Parish, Terrebonne Parish, St. Mary Parish;",SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Severe Weather,122,37991,2020
366,April,04/12/2020,20:30:00,04/14/2020,09:00:00,Arkansas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,51000,2020
367,April,04/12/2020,21:28:00,04/15/2020,12:00:00,Virginia: West Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,104000,2020
368,April,04/12/2020,17:00:00,04/14/2020,01:25:00,Mississippi: Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,448,62828,2020
369,April,04/12/2020,18:13:00,04/13/2020,15:23:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,63289,2020
370,April,04/13/2020,03:30:00,04/14/2020,18:18:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,216400,2020
371,April,04/13/2020,00:45:00,04/13/2020,03:00:00,Tennessee: Hamilton County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,120000,2020
372,April,04/13/2020,08:08:00,Unknown,Unknown,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72233,2020
373,April,04/13/2020,10:25:00,04/13/2020,18:55:00,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,95000,2020
374,April,04/13/2020,13:05:00,04/14/2020,16:00:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68476,2020
375,April,04/13/2020,07:31:00,04/13/2020,14:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,Unknown,2020
376,April,04/16/2020,11:30:00,04/16/2020,15:45:00,Georgia:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
377,April,04/18/2020,19:38:00,Unknown,Unknown,Nevada: Washoe County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
378,April,04/19/2020,01:14:00,04/20/2020,11:42:00,North Dakota: Burleigh County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
379,April,04/20/2020,12:42:00,04/20/2020,13:27:00,South Dakota: Deuel County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
380,April,04/20/2020,00:59:00,04/20/2020,08:40:00,Alabama: Mississippi: Georgia: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,552,77341,2020
381,April,04/23/2020,04:30:00,04/23/2020,07:00:00,Mississippi: Arkansas: Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55184,2020
382,April,04/23/2020,08:00:00,04/23/2020,23:40:00,Alabama: Georgia: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,375,52163,2020
383,April,04/24/2020,22:00:00,Unknown,Unknown,Nevada: White Pine County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
384,April,04/24/2020,21:00:00,04/24/2020,21:33:00,"California: Placer County, Nevada County;",WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,5,945,2020
385,April,04/25/2020,21:25:00,04/25/2020,21:56:00,Oregon: Multnomah County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
386,April,04/26/2020,01:38:00,Unknown,Unknown,Florida:,FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,49999,2020
387,April,04/28/2020,20:01:00,04/28/2020,23:21:00,Texas: Jefferson County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,14,1,2020
388,April,04/29/2020,06:00:00,04/29/2020,12:31:00,Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,77933,2020
389,April,04/29/2020,05:55:00,04/29/2020,19:00:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,146660,2020
390,April,04/30/2020,15:00:00,Unknown,Unknown,"Pennsylvania: Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,78007,2020
391,May,05/04/2020,11:59:00,05/07/2020,20:00:00,Tennessee: Davidson County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500,130000,2020
392,May,05/08/2020,13:45:00,05/08/2020,13:46:00,Nevada: Nye County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
393,May,05/13/2020,23:16:00,05/14/2020,13:52:00,Indiana: Hendricks County;,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2020
394,May,05/13/2020,05:12:00,05/13/2020,14:07:00,Washington:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
395,May,05/14/2020,11:23:00,05/14/2020,11:25:00,Oregon: Jackson County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2020
396,May,05/15/2020,17:55:00,05/17/2020,18:00:00,New York: Saratoga County;,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,52,2020
397,May,05/16/2020,00:00:00,05/16/2020,00:30:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
398,May,05/18/2020,23:51:00,05/19/2020,04:37:00,South Carolina:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
399,May,05/18/2020,09:27:00,05/18/2020,10:15:00,Oregon: Clackamas County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2020
400,May,05/19/2020,20:04:00,05/19/2020,22:00:00,Alabama: Jefferson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,8,6000,2020
401,May,05/19/2020,08:17:00,05/19/2020,08:18:00,Idaho: Bonneville County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
402,May,05/19/2020,13:45:00,05/19/2020,13:46:00,Arkansas:,SPP RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
403,May,05/20/2020,11:41:00,Unknown,Unknown,Nevada: Clark County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
404,May,05/22/2020,16:35:00,05/23/2020,15:29:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,108190,2020
405,May,05/24/2020,16:45:00,Unknown,Unknown,Central Oklahoma,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,54000,2020
406,May,05/25/2020,10:58:00,05/25/2020,13:00:00,Texas: Kerr County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,8,3745,2020
407,May,05/27/2020,17:15:00,05/29/2020,06:30:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,382000,2020
408,May,05/27/2020,17:20:00,Unknown,Unknown,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,273269,2020
409,May,05/29/2020,17:01:00,05/29/2020,18:57:00,Pennsylvania: Warren County;,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
410,May,05/29/2020,17:30:00,05/31/2020,18:00:00,Minnesota: Hennepin County;,MRO,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",System Operations,0,0,2020
411,May,05/29/2020,21:37:00,05/30/2020,04:29:00,Ohio: Franklin County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
412,May,05/30/2020,22:20:00,05/30/2020,23:00:00,Texas: Bexar County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2020
413,May,05/31/2020,21:30:00,06/01/2020,01:00:00,Alabama: Jefferson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
414,May,05/31/2020,00:15:00,Unknown,Unknown,Pennsylvania:,RF,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Vandalism,0,0,2020
415,June,06/02/2020,14:36:00,06/02/2020,14:37:00,"Idaho: Blaine County, Jerome County, Minidoka County, Power County;",WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0,2020
416,June,06/03/2020,13:00:00,06/06/2020,16:30:00,New Jersey:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,80,87000,2020
417,June,06/03/2020,12:30:00,06/03/2020,18:00:00,"Pennsylvania: Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,708000,2020
418,June,06/03/2020,16:57:00,06/03/2020,17:29:00,North Dakota: Minnesota:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
419,June,06/03/2020,13:36:00,06/03/2020,16:30:00,New Jersey:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,78079,2020
420,June,06/09/2020,11:21:00,06/09/2020,12:01:00,Washington:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
421,June,06/10/2020,19:30:00,Unknown,Unknown,"Michigan: Oakland County, Macomb County, Wayne County, Sanilac County, Tuscola County, Huron County, Lapeer County, Livingston County, Monroe County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,237000,2020
422,June,06/10/2020,12:22:00,06/10/2020,17:00:00,"Michigan: Gratiot County, Lake County, Missaukee County, Benzie County, Leelanau County, Manistee County, Wexford County, Montcalm County, Kent County, Ottawa County, Van Buren County, St. Joseph County, Arenac County, Saginaw County, Calhoun County, Branch County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,270000,2020
423,June,06/10/2020,17:24:00,06/11/2020,18:00:00,Ohio: Indiana: Kentucky: West Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,85822,2020
424,June,06/12/2020,08:21:00,06/12/2020,08:22:00,Michigan: Houghton County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2020
425,June,06/18/2020,12:11:00,06/22/2020,08:11:00,Colorado: El Paso County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,0,0,2020
426,June,06/18/2020,20:32:00,06/18/2020,20:35:00,Kentucky: Gallatin County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,0,0,2020
427,June,06/21/2020,01:16:00,06/21/2020,18:45:00,Delaware: New Castle County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
428,June,06/22/2020,11:44:00,06/22/2020,12:42:00,"Pennsylvania: Allegheny County, Beaver County;",RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
429,June,06/25/2020,09:40:00,06/25/2020,11:00:00,Kentucky: Madison County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,0,2020
430,June,06/26/2020,16:20:00,06/29/2020,15:00:00,North Dakota: Mountrail County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
431,June,06/26/2020,12:47:00,06/26/2020,13:53:00,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
432,June,06/27/2020,16:00:00,06/28/2020,02:27:00,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,33480,78109,2020
433,June,06/29/2020,14:32:00,06/29/2020,16:35:00,Arkansas: Garland County;,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
434,June,06/30/2020,10:28:00,06/30/2020,10:29:00,Oregon:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,2020
435,July,07/01/2020,19:26:00,07/01/2020,19:44:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,32,2013,2020
436,July,07/02/2020,20:30:00,Unknown,Unknown,California: Butte County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2020
437,July,07/06/2020,12:26:00,Unknown,Unknown,New York: Kings County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
438,July,07/06/2020,18:45:00,07/06/2020,19:42:00,District of Columbia: Maryland:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
439,July,07/07/2020,11:38:00,07/07/2020,18:24:00,California: Los Angeles County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
440,July,07/07/2020,13:09:00,07/08/2020,08:17:00,Colorado:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
441,July,07/07/2020,19:17:00,07/07/2020,23:49:00,West Virginia: Wyoming County;,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,Unknown,Unknown,2020
442,July,07/08/2020,22:04:00,Unknown,Unknown,Texas:,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,0,0,2020
443,July,07/08/2020,18:45:00,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2020
444,July,07/09/2020,15:09:00,Unknown,Unknown,Washington: Thurston County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
445,July,07/11/2020,23:30:00,07/12/2020,06:30:00,Oklahoma: Arkansas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68000,2020
446,July,07/11/2020,21:30:00,Unknown,Unknown,Oklahoma:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94700,2020
447,July,07/11/2020,04:55:00,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2020
448,July,07/12/2020,04:30:00,07/13/2020,05:00:00,"Texas: Collin County, Dallas County, Denton County, Rockwall County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,48000,2020
449,July,07/12/2020,14:08:00,07/12/2020,20:44:00,Nevada: Washoe County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,36,10000,2020
450,July,07/13/2020,16:30:00,07/13/2020,16:31:00,Kentucky: Madison County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
451,July,07/14/2020,14:16:00,07/14/2020,14:53:00,California:,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
452,July,07/15/2020,11:00:00,07/15/2020,11:20:00,Kentucky: Madison County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,0,2020
453,July,07/16/2020,08:49:00,07/16/2020,11:06:00,North Dakota: Minnesota:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,475,0,2020
454,July,07/17/2020,23:00:00,07/17/2020,23:30:00,Oklahoma:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
455,July,07/17/2020,19:24:00,Unknown,Unknown,New York:,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
456,July,07/19/2020,14:30:00,07/21/2020,18:48:00,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,158500,2020
457,July,07/19/2020,10:30:00,Unknown,Unknown,New York: Niagara County,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,675,,2020
458,July,07/20/2020,00:57:00,07/20/2020,02:34:00,Texas: Travis County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,21,14096,2020
459,July,07/21/2020,11:53:00,07/21/2020,13:00:00,Washington: Pierce County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,19,11000,2020
460,July,07/22/2020,11:30:00,07/22/2020,14:19:00,West Virginia: Tucker County;,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
461,July,07/24/2020,08:25:00,Unknown,Unknown,New York: Bronx County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2020
462,July,07/25/2020,21:00:00,07/26/2020,16:00:00,"Texas: Hidalgo County, Cameron County, Starr County, Kenedy County, Willacy County, Brooks County, Jim Hogg County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,125,84000,2020
463,July,07/25/2020,19:58:00,07/27/2020,19:00:00,"Texas: Nueces County, Kleberg County, Cameron County, Willacy County, Hidalgo County, Starr County, Kenedy County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,201208,2020
464,July,07/28/2020,15:00:00,07/28/2020,23:00:00,Michigan: Jackson County;,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2020
465,July,07/30/2020,17:54:00,07/30/2020,20:18:00,Nebraska: Scotts Bluff County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
466,August,08/01/2020,11:14:00,08/10/2020,21:26:00,"Texas: Cameron County, Willacy County, Hidalgo County, Starr County;",TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2020
467,August,08/01/2020,08:16:00,08/01/2020,09:15:00,California: San Diego County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2020
468,August,08/01/2020,00:00:00,08/01/2020,00:01:00,"Texas: Cameron County, Hidalgo County, Starr County, Willacy County;",TRE,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Severe Weather,Unknown,Unknown,2020
469,August,08/02/2020,19:43:00,08/02/2020,22:27:00,Illinois: Rock Island County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2020
470,August,08/03/2020,08:00:00,08/03/2020,13:00:00,Texas: Ector County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2020
471,August,08/03/2020,23:15:00,08/06/2020,07:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,340000,2020
472,August,08/03/2020,23:02:00,Unknown,Unknown,North Carolina:,SERC,Complete loss of off-site power (LOOP) affecting a nuclear generating station per the Nuclear Plant Interface Requirements.,Severe Weather,Unknown,Unknown,2020
